Sample;Tilt angle to optical axis ;Image;Particle number;Area;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm]
1;na;1;1;9078;1527,265;243,93;376,333;130,804;88,365;16,858;130,74;1468;271;21,069;92,22;204,255;8,063273889
1;na;1;2;6595;1817,736;303,691;316,96;114,047;73,628;51,209;111,503;1773;337;34,403;72,013;148,3875;6,872642013
1;na;1;3;1831;1736,557;392,014;162,167;54,296;42,937;104,624;56,886;1731;364;100,125;44,731;41,1975;3,621266565
1;na;1;4;3286;1540,109;710,051;219,439;76,429;54,742;20,658;79,322;1507;731;33,69;54,54;73,935;4,851210306
1;na;1;5;2343;1364,477;771,202;181,782;56,226;53,057;94,085;59,363;1349;746;122,619;52;52,7175;4,096401033
1;na;1;6;2316;1736,399;1618,833;184,61;59,95;49,188;49,754;63,781;1712;1640;41,186;48,954;52,11;4,072729818
1;na;2;1;2279;1809,091;195,41;185,522;65,916;44,021;46,585;65,765;1778;210;28,124;42,745;51,2775;4,040066236
1;na;2;2;8169;286,319;225,645;359,262;125,694;82,749;16,381;126,531;228;248;17,003;87,024;183,8025;7,648931485
1;na;2;3;5048;576,549;286,848;280,676;102,642;62,619;51,675;100,449;538;321;43,386;61,803;113,58;6,012789442
1;na;2;4;1085;495,53;373,98;129,054;46,537;29,686;97,715;47,297;493;350;103,449;30,894;24,4125;2,787604724
1;na;2;5;2340;305,002;693,636;190,267;67,444;44,175;29,582;70,456;276;712;34,592;45,776;52,65;4,093777657
1;na;2;6;2203;128,874;753,099;174,125;54,312;51,645;114,546;57,428;112;730;125,074;50;49,5675;3,972131076
1;na;2;7;5620;933,528;947,706;310,35;110,671;64,657;71,36;113,741;902;1000;57,567;68,592;126,45;6,34431124
1;na;2;8;9887;1181,727;1006,824;403,546;152,075;82,778;114,942;155,641;1150;933;115,907;85,578;222,4575;8,41489284
1;na;2;9;1750;502,93;1605,81;159,296;53,011;42,032;57,118;55,317;482;1624;40,601;42,348;39,375;3,54026154
1;na;2;10;6806;984,017;1802,686;329,103;120,441;71,95;130,436;119,013;962;1746;114,842;71,619;153,135;6,98171787
1;na;2;11;7722;1377,037;1888,857;337,245;107,449;91,504;79,062;117,107;1370;1832;92,447;89,304;173,745;7,436716424
1;na;3;1;2828;1280,593;58,733;200,108;63,582;56,631;172,378;67,742;1248;64;8,489;57,026;63,63;4,500450873
1;na;3;2;6131;174,309;110,563;316,551;109,101;71,55;72,655;113,464;142;161;55,049;72,718;137,9475;6,626466104
1;na;3;3;9773;423,404;171,536;402,233;151,431;82,172;114,024;153,323;389;100;120,579;85,844;219,8925;8,366239098
1;na;3;4;1927;1954,017;135,104;170,551;61,044;40,193;43,555;60,539;1927;148;30,801;41,012;43,3575;3,714985988
1;na;3;5;4238;1331,521;589,668;250,167;82,819;65,154;2,053;84,22;1296;612;29,914;63;95,355;5,509304783
1;na;3;6;5634;225,179;966,881;301,789;109,803;65,33;130,558;109,385;207;914;112,58;65,255;126,765;6,352208492
1;na;3;7;6199;618,017;1053,124;301,647;92,849;85,007;64,367;98,153;605;1100;81,209;81,853;139,4775;6,663112422
