Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;1;1;2232;646,05;267,372;195,38;61,924;45,893;78,535;67,72;642;300;73,706;50,55;50,22;3,998189901;;;;
1;na;1;2;637;703,194;542,814;110,326;43,905;18,473;86,264;42,953;697;563;77,905;19,501;14,3325;2,135925196;;;;
1;na;1;3;6736;620,486;1086,907;337,262;124,818;68,713;165,318;124,952;559;1076;169,859;67,556;151,56;6,945721442;;;;
1;na;1;4;2828;919,013;1241,071;202,752;70,987;50,724;88,338;71,805;909;1275;77,125;51;63,63;4,500450873;;;;
1;na;1;5;2508;1644,445;1304,704;203,48;66,658;47,905;74,5;69,426;1638;1269;101,634;47,376;56,43;4,238186744;;;;
1;na;1;6;10815;107,413;1523,98;407,404;133,892;102,845;90,857;139,807;94;1592;83,841;101,056;243,3375;8,800950626;;;;
1;na;1;7;5789;1025,343;1607,227;312,25;113,349;65,028;1,125;115,732;967;1593;167,525;63,249;130,2525;6,438995143;;;;
1;na;1;8;4782;346,564;1699,152;271,664;89,678;67,895;77,655;92,763;337;1654;101,189;67,542;107,595;5,85222626;;;;
1;na;1;9;13175;1897,655;1738,654;525,044;189,461;88,54;18,696;183,636;1809;1747;9,719;91,646;296,4375;9,713855408;;;;
1;na;1;10;4898;1218,078;1809,145;284,392;101,073;61,701;15,536;105,688;1169;1828;20,493;67,047;110,205;5,922781526;;;;
1;na;2;1;22473;605,711;274,119;714,666;212,124;134,891;68,913;257,189;548;364;68,323;143,074;505,6425;12,68664678;;;;
1;na;2;2;22957;133,901;382,922;687,37;277,167;105,459;95,416;281,043;103;246;100,87;112,547;516,5325;12,8225349;;;;
1;na;2;3;5880;1920,259;1112,228;313,12;99,676;75,11;73,045;106,888;1912;1064;100,784;72,678;132,3;6,489406594;;;;
1;na;2;4;2365;863,24;1215,37;184,024;62,768;47,974;176,269;62,817;834;1223;13,815;47;53,2125;4,115588028;;;;
1;na;2;5;5172;1431,894;1294,516;274,936;96,571;68,19;72,243;97,144;1415;1339;69,513;68,973;116,37;6,086191047;;;;
1;na;2;6;4721;315,01;1298,023;260,836;82,513;72,849;135,228;86,539;298;1258;112,416;71,136;106,2225;5,814780467;;;;
1;na;2;7;5393;1398,985;1442,316;299,362;98,011;70,059;46,794;101,02;1352;1462;21,485;70,196;121,3425;6,214862618;;;;
1;na;2;8;8288;271,556;1655,47;357,806;124,552;84,724;97,235;125,172;259;1717;77,074;82,457;186,48;7,704442068;;;;
1;na;3;1;10034;1168,621;194,309;389,647;126,627;100,892;145,885;130,698;1138;138;121,866;99,87;225,765;8,47721838;;;;
1;na;3;2;5682;1807,7;907,302;310,149;118,619;60,99;110,579;114,612;1781;858;119,249;60,24;127,845;6,379210562;;;;
1;na;3;3;7621;1928,368;994,868;354,09;123,105;78,822;73,068;124,788;1912;1057;83,558;79,249;171,4725;7,387922033;;;;
1;na;3;4;3645;994,895;989,326;235,078;71,177;65,203;109,937;78,102;988;950;103,325;65,522;82,0125;5,109343357;;;;
1;na;3;5;1679;924,534;1280,266;156,953;51,208;41,746;124,805;55,227;910;1258;121,675;42,932;37,7775;3,467701216;;;;
1;na;3;6;5425;323,791;1377,501;285,948;98,007;70,478;111,373;99,985;317;1330;98,049;68,428;122,0625;6,233273657;;;;
1;na;3;7;5920;166,692;1576,04;300,635;96,749;77,909;83,68;106,231;148;1626;75,833;80,847;133,2;6,511441994;;;;
1;na;4;1;3319;1696,446;62,794;228,108;82,692;51,104;150,876;80,281;1666;37;140,56;49,909;74,6775;4,875508848;;;;
1;na;4;2;4665;804,658;282,651;287,262;110,797;53,609;142,598;107,648;764;251;144,834;54,906;104,9625;5,780190432;;;;
1;na;4;3;11452;114,942;386,087;440,475;166,95;87,338;84,824;168,882;100;470;77,692;90,827;257,67;9,056429118;;;;
1;na;4;4;15796;1165,4;449,123;499,772;168,5;119,359;20,954;167,036;1084;435;171,045;114,182;355,41;10,63628303;;;;
1;na;4;5;8772;1708,778;475,596;363,889;118,17;94,516;39,248;122,119;1682;530;62,176;93,925;197,37;7,92621109;;;;
