Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;1;47;340;1883,997;1206,935;68,184;24,083;17,975;7,897;24,515;1872;1209;11,768;18;7,65;1,560471284;;;;
1;na;1;48;10616;1348,054;1249,422;436,032;157,339;85,908;9,76;165,366;1270;1239;176,186;87,157;238,86;8,719604315;;;;
1;na;1;49;127;1822,106;1213,169;41,799;14,195;11,391;6,851;14,866;1815;1215;19,654;11;2,8575;0,953714056;;;;
1;na;1;50;1087;19,493;1229,109;131,841;45,703;30,282;8,319;47,508;0;1246;30,343;29,935;24,4575;2,790172762;;;;
1;na;1;51;229;88,985;1230,439;55,941;18,063;16,142;116,847;19,313;87;1221;111,251;16,719;5,1525;1,280660645;;;;
1;na;1;52;246;2003,663;1274,309;57,355;18,375;17,046;37,627;19,416;1999;1283;55,491;17,678;5,535;1,327345177;;;;
1;na;1;53;289;469,317;1277,483;62,527;21,695;16,961;100,756;22,472;465;1267;110,854;17;6,5025;1,438683438;;;;
1;na;1;54;1618;1298,549;1334,731;152,711;53,264;38,677;71,929;55,462;1287;1361;64,359;39,611;36,405;3,404125645;;;;
1;na;1;55;168;264,756;1425,69;48,284;16,4;13,043;30,667;17,493;257;1430;30,964;13,882;3,78;1,096909919;;;;
1;na;1;56;292;648,798;1441,421;65,698;25,548;14,552;95,955;25,495;646;1429;101,31;14;6,57;1,446131374;;;;
1;na;1;57;237;721,357;1497,475;60,284;23,755;12,703;101,665;23,77;718;1486;104,621;13;5,3325;1,302838236;;;;
1;na;1;58;93;585,952;1504,887;35,213;12,212;9,697;162,605;13;580;1502;157,38;10;2,0925;0,816127096;;;;
1;na;1;59;477;656,838;1519,852;96,77;41,581;14,606;4,288;40,447;637;1521;8,531;15;10,7325;1,848312975;;;;
1;na;1;60;676;1801,849;1532,324;101,64;38,077;22,604;131,732;38,949;1789;1517;131,878;23,335;15,21;2,200339376;;;;
1;na;1;61;233;895,8;1558,238;55,113;18,426;16,1;163,627;19,698;887;1554;156,038;16;5,2425;1,291797034;;;;
1;na;1;62;1786;855,169;1583,176;167,439;53,663;42,375;120,342;57,689;831;1569;146,31;43,383;40,185;3,576490287;;;;
1;na;1;63;520;964,36;1577,477;91,497;31,091;21,295;87,113;32,757;958;1592;77,661;23,215;11,7;1,929825295;;;;
1;na;1;64;847;237,309;1584,615;116,912;46,073;23,407;84,412;45,706;232;1606;79,919;24;19,0575;2,462963795;;;;
1;na;1;65;4022;1825,445;1625,996;288,593;98,75;51,858;61,548;106,4;1800;1667;53,022;55,545;90,495;5,367071189;;;;
1;na;1;66;103;1702,607;1594,626;36,627;12,187;10,761;119,796;13,038;1699;1589;122,471;11;2,3175;0,858884836;;;;
1;na;1;67;943;190,94;1646,81;133,782;50,779;23,645;116,014;54,231;177;1623;112,782;25,958;21,2175;2,598795877;;;;
1;na;1;68;154;672,935;1727,851;44,87;14,303;13,709;135,496;15,264;667;1723;148,392;14;3,465;1,050211291;;;;
1;na;1;69;1257;1470,988;1765,895;159,882;59,353;26,965;94,001;61,847;1464;1731;104,036;31;28,2825;3,000433195;;;;
1;na;1;70;1642;287,448;1788,943;166,167;55,041;37,984;84,581;61,522;279;1761;97,472;42;36,945;3,429279625;;;;
1;na;1;71;1124;290,691;1860,885;132,024;46,364;30,867;106,582;49,729;280;1837;105,154;32,892;25,29;2,837262241;;;;
1;na;1;72;9146;102,95;1900,871;368,818;127,617;91,25;29,985;129,958;52;1940;39,693;92,382;205,785;8,093417074;;;;
1;na;1;73;115;507,039;1864,97;38,042;12,512;11,702;133,371;13,416;504;1859;116,565;12;2,5875;0,907538886;;;;
1;na;1;74;883;1890,226;1899,493;110,225;35,384;31,774;25,139;36,235;1881;1915;62,021;31,759;19,8675;2,514760757;;;;
1;na;1;75;1503;728,751;1953,263;165,054;67,461;28,367;177,455;66,37;695;1949;173,946;28,925;33,8175;3,2809213;;;;
1;na;1;76;247;296,488;1953,2;59,698;22,398;14,041;84,743;22,561;293;1964;77,196;14;5,5575;1,330040297;;;;
1;na;1;77;305;811,507;1974,195;67,355;25,585;15,178;115,827;26,42;805;1963;119,476;15,99;6,8625;1,477972122;;;;
1;na;1;78;578;777,433;1991,192;93,74;30,063;24,479;92,362;32,016;773;1974;104,47;26,39;13,005;2,03460563;;;;
1;na;1;79;139;665,716;2007,558;42,627;15,676;11,29;173,115;16,155;658;2005;158,199;11;3,1275;0,997754564;;;;
1;na;1;80;4435;226,221;2028,512;325,196;128,379;43,985;8,651;138,246;149;2047;14,237;45;99,7875;5,635898133;;;;
1;na;1;81;249;525,5;2025,946;59,698;22,544;14,063;1,71;22,561;515;2023;167,196;14;5,6025;1,335414219;;;;
1;na;1;82;870;327,363;2038,921;132,083;50,808;21,802;5,967;53,235;299;2043;174,611;23;19,575;2,496180286;;;;
1;na;1;83;211;1765,192;2044,002;66,627;27,816;9,658;179,611;29,069;1751;2046;176,055;9;4,7475;1,229299062;;;;
1;na;2;1;4113;1422,055;36,578;246,25;80,718;64,878;171,157;85,703;1379;29;168,559;68,237;92,5425;5,427448078;;;;
1;na;2;2;1766;1908,204;48,706;157,238;51,706;43,487;66,356;54,129;1904;76;78,275;43,841;39,735;3,556408768;;;;
1;na;2;3;169;521,056;42,175;50,284;19,05;11,295;7,902;19,925;511;45;17,526;12;3,8025;1,100169688;;;;
1;na;2;4;329;1146,26;79,828;69,012;25,972;16,129;21,156;26,571;1134;85;19,799;16,763;7,4025;1,535020825;;;;
