Sample;Tilt angle to optical axis ;Image;Particle number;Area;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm]
1;na;11;2;2492;692,784;389,58;185,966;58,498;54,239;122,582;60,208;686;360;101,497;53,74;56,07;4,224646177
1;na;11;3;1461;1592,434;547,307;144,51;51,401;36,19;39,484;51,225;1570;561;38,66;36,062;32,8725;3,234755282
1;na;11;4;1807;36,508;682,669;157,338;51,544;44,636;174,182;54,342;10;676;167,242;45;40,6575;3,597455239
1;na;11;5;5542;541,578;709,356;304,676;99,097;71,206;114,939;101,98;529;660;101,31;73,988;124,695;6,300131051
1;na;11;6;7583;807,97;1021,122;349,688;132,345;72,953;30,89;128,16;746;1038;16,314;70,965;170,6175;7,369480104
1;na;11;7;3755;478,603;1008,674;248,853;92,981;51,419;179,923;90,521;434;1023;16,032;50;84,4875;5,185866033
1;na;11;8;4431;713,397;1139,871;259,404;94,601;59,637;43,274;92,704;670;1155;23,523;57,276;99,6975;5,633356005
1;na;11;9;5201;1127,158;1631,549;277,99;97,799;67,711;46,961;94,578;1115;1677;70,224;65,761;117,0225;6,103230182
1;na;11;10;968;192,396;1905,034;119,64;38,776;31,785;137,145;40,608;175;1893;142,001;32,656;21,78;2,633019051
1;na;11;11;6876;1010,139;2000,711;330,392;111,793;78,312;32,602;122,025;964;2041;49,653;80,059;154,71;7,017529657
2;na;1;1;322;424,127;94,23;67,012;24,18;16,956;38,014;24,698;413;100;31,759;17,678;7,245;1,518603018
2;na;1;2;634;1861,631;402,079;107,296;43,922;18,379;133,361;43,932;1844;389;138,691;19,799;14,265;2,130889609
2;na;1;3;5248;1812,33;460,6;340,032;117,158;57,034;47,852;113,159;1780;508;56,17;62,486;118,08;6,130744764
2;na;1;4;1941;924,488;575,016;166,267;53,126;46,519;160,196;56,859;898;564;156,14;47,764;43,6725;3,728456585
2;na;1;5;1176;1999,105;843,711;142,752;46,995;31,861;19,525;49,336;1974;855;17,7;36;26,46;2,902150856
2;na;1;6;3583;1015,665;902,997;257,966;95,865;47,588;68,25;91,924;986;938;59,25;51,504;80,6175;5,065703036
2;na;1;7;1566;324,193;965,803;152,024;46,507;42,873;127,861;50,567;314;944;114,538;41,991;35,235;3,348977283
2;na;1;8;2106;188,604;1340,753;179,238;64,707;41,44;143,991;65,437;160;1324;141,203;42,174;47,385;3,883698489
2;na;1;9;648;715,079;1354,37;96,569;32,92;25,062;26,756;34,205;699;1357;15,255;26,567;14,58;2,154288314
2;na;1;10;503;1351,643;1362,084;89,74;31,997;20,015;131,897;34,205;1338;1349;142,125;21,92;11,3175;1,89801795
2;na;1;11;638;1094,918;1560,299;99,397;37,203;21,835;69,149;38,897;1086;1578;72,031;23,076;14,355;2,137601089
2;na;1;12;1762;1385,981;1603,349;159,439;52,742;42,537;137,326;55,218;1369;1582;125,417;42,067;39,645;3,552378842
2;na;1;13;4654;107,626;1679,614;473,772;152,022;38,979;109,52;164,454;73;1603;104,797;51,919;104,715;5,773371609
2;na;1;14;333;733,932;1637,488;70,669;25,414;16,683;32,808;26,077;723;1644;32,471;17,666;7,4925;1,544324066
