Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;1;1;806;1965,253;77,913;120,468;43,214;23,748;84,073;43,932;1964;56;101,821;25,927;18,135;2,402613116;;;;
1;na;1;2;10562;1545,851;155,719;434,759;153,95;87,353;10,534;155,242;1474;185;14,931;99,004;237,645;8,697399203;;;;
1;na;1;3;337;1894,797;601,073;75,598;30,695;13,979;14,971;31,321;1880;606;16,699;14,56;7,5825;1,553571599;;;;
1;na;1;4;246;1313,943;688,98;58,184;20,609;15,198;106,773;21,84;1312;678;105,945;16;5,535;1,327345177;;;;
1;na;1;5;1739;1455,163;717,835;200,752;56,25;39,363;61,563;61,612;1436;739;35,754;46,344;39,1275;3,529117464;;;;
1;na;1;6;82;1125,317;816,402;33,799;11,285;9,251;121,669;12,207;1122;812;124,992;10;1,845;0,766343095;;;;
1;na;1;7;106;312,142;900,802;41,799;16,829;8,02;91,835;17,263;310;893;100,008;8;2,385;0,871303092;;;;
1;na;1;8;426;703,333;917,366;81,355;31,964;16,969;96,836;31,78;699;902;102,724;17;9,585;1,74671127;;;;
1;na;1;9;2142;278,542;960,961;182,652;63,969;42,634;117,505;68;264;930;118,072;45,962;48,195;3,916751839;;;;
1;na;1;10;83;305,645;943,753;37,799;14,798;7,141;96,974;15,297;303;937;101,31;7,853;1,8675;0,771001759;;;;
1;na;1;11;104;332,75;982,933;38,87;15,034;8,808;121,501;16,125;329;976;119,745;9,842;2,34;0,863044109;;;;
1;na;1;12;4670;88,682;1013,789;282,978;111,344;53,402;24,938;108,259;39;1037;25,145;54,492;105,075;5,783287239;;;;
1;na;1;13;1915;1988,712;1061,625;196,167;53,093;45,924;5,823;60,539;1964;1083;30,801;51,24;43,0875;3,703400764;;;;
1;na;1;14;77;351,682;1056,539;40,627;14,074;6,966;93,57;16,125;349;1048;97,125;8;1,7325;0,742611526;;;;
1;na;1;15;567;1356,1;1084,648;94,912;34,781;20,756;103,794;36,401;1349;1068;110,925;21,592;12,7575;2,015152196;;;;
1;na;1;16;325;1465,522;1079,208;73,255;27,857;14,854;18,214;27,893;1452;1085;14,534;16,132;7,3125;1,525660854;;;;
1;na;1;17;386;721,264;1258,992;75,012;28,591;17,19;13,594;29,411;707;1263;17,819;17,707;8,685;1,662684986;;;;
1;na;1;18;4098;1852,578;1296,406;245,806;81,57;63,966;117,95;83,187;1843;1255;99,689;63,268;92,205;5,41754216;;;;
1;na;1;19;411;1631,967;1281,283;80,426;31,494;16,616;8,951;31,575;1616;1283;10,954;16,771;9,2475;1,715683733;;;;
1;na;1;20;138;576,051;1280,92;46,527;17,813;9,864;44,044;19,105;570;1288;42,879;10,607;3,105;0,99415904;;;;
1;na;1;21;1497;544,429;1334,176;150,066;44,108;43,213;165,14;49,497;520;1328;171,87;42,426;33,6825;3,274366006;;;;
1;na;1;22;7277;1731,534;1513,462;348,777;126,728;73,112;169,55;129,062;1664;1510;178,224;75,922;163,7325;7,219257125;;;;
1;na;1;23;2158;675,667;1542,304;184,551;57,123;48,101;121,94;61,098;645;1532;158,895;47,701;48,555;3,931353014;;;;
1;na;1;24;6068;1618,499;1561,519;308,635;97,704;79,076;0,845;103,846;1568;1573;15,642;80,828;136,53;6,592332574;;;;
1;na;1;25;6781;1951,551;1605,829;359,563;126,647;68,172;167,128;132,966;1890;1590;158,839;70,761;152,5725;6,968883347;;;;
1;na;1;26;1843;158,65;1826,878;181,823;56,985;41,179;178,782;59,203;130;1838;15,68;42,001;41,4675;3,633113707;;;;
1;na;1;27;3923;1469,529;1876,302;257,095;82,832;60,302;94,632;89,694;1451;1917;67,724;59,462;88,2675;5,300605426;;;;
1;na;1;28;62;1334,323;1941,419;30,385;11,919;6,623;9,284;12,369;1328;1942;14,036;7;1,395;0,666364983;;;;
1;na;2;1;4596;471,63;95,598;270,777;100,174;58,416;126,089;96,607;447;54;126,158;57,753;103,41;5,737283794;;;;
1;na;2;2;2176;1184,617;145,633;179,439;58,121;47,669;75,097;58,873;1175;118;110,898;46,486;48,96;3,947714785;;;;
1;na;2;3;3206;626,076;195,605;222,451;72,531;56,28;65,404;73,41;594;211;24,121;54,332;72,135;4,791793364;;;;
1;na;2;4;340;1423,509;215,812;68,527;24,825;17,438;93,027;25,298;1419;204;108,435;17;7,65;1,560471284;;;;
1;na;2;5;1566;278,157;242,92;150,853;47,664;41,833;65,896;49,204;266;266;52,431;42,351;35,235;3,348977283;;;;
1;na;2;6;4702;1986,851;287,095;264,936;81,916;73,084;88,379;88,238;1970;245;113,369;70,212;105,795;5,803067672;;;;
1;na;2;7;3689;1388,743;325,844;231,581;79,205;59,302;78,993;78,772;1372;362;69,955;59;83,0025;5,140089136;;;;
1;na;2;8;12931;505,118;640,86;471,22;184,756;89,113;87,255;178,373;487;554;99,357;86,728;290,9475;9,623485107;;;;
1;na;2;9;104;1663,962;577,942;38,042;13,625;9,719;99,713;14,318;1662;571;102,095;10;2,34;0,863044109;;;;
1;na;2;10;477;1075,984;607,565;83,012;29,883;20,324;104,081;30,083;1073;593;105,422;20,795;10,7325;1,848312975;;;;
1;na;2;11;2422;1030,487;639,944;212,066;73,875;41,743;89,411;80,399;1027;679;84,289;43,948;54,495;4,164888624;;;;
1;na;2;12;67;1096,769;677,052;30,385;11,45;7,451;17,052;12,083;1091;679;24,444;8;1,5075;0,692713616;;;;
1;na;2;13;752;210,985;770,047;109,74;43,783;21,869;13,696;43,417;190;776;14,676;21,982;16,92;2,320733348;;;;
1;na;2;14;3306;994,777;797,382;225,238;73,167;57,53;87,083;76,922;984;762;105,843;58;74,385;4,86595118;;;;
1;na;2;15;2644;1091,975;951,432;206,652;75,082;44,837;95,229;78,638;1084;912;97,306;45,665;59,49;4,351580762;;;;
1;na;2;16;1280;342,185;999,762;136,368;47,238;34,501;174,784;48,052;319;994;167,989;34,912;28,8;3,027759026;;;;
1;na;2;17;1160;1481,217;1020,35;133,439;44,944;32,862;135,287;46,861;1460;1010;140,194;33,696;26,1;2,882340721;;;;
1;na;2;18;626;1412,66;1099,842;116,912;43,447;18,345;76,69;45,695;1397;1117;66,801;21,385;14,085;2,117402831;;;;
1;na;2;19;3628;562,758;1164,007;237,421;82,978;55,669;24,563;84,119;521;1170;18,004;57,37;81,63;5,09741464;;;;
1;na;2;20;82;962,793;1199,476;32,627;12,325;8,471;17,694;13;957;1202;22,62;9;1,845;0,766343095;;;;
1;na;2;21;5748;1739,198;1238,785;292,836;102,97;71,075;161,357;99,985;1690;1232;171,951;70,044;129,33;6,416152864;;;;
1;na;2;22;2536;441,931;1248,853;225,38;84,609;38,163;111,34;89,006;425;1206;117,429;41,601;57,06;4,261779218;;;;
1;na;2;23;5904;1348,376;1260,652;308,735;103,076;72,929;114,494;108,259;1330;1210;115,145;74,926;132,84;6,502636794;;;;
1;na;2;24;51;468,971;1249,99;34,284;10,145;6,401;138,159;11,402;465;1246;127,875;8,666;1,1475;0,60436793;;;;
1;na;2;25;4249;394,078;1314,918;263,463;82,539;65,544;151,1;88,023;353;1301;158,682;67,061;95,6025;5,516450026;;;;
1;na;2;26;445;486,909;1305,549;80,912;29,644;19,113;112,098;30,806;484;1291;103,134;19,686;10,0125;1,785238845;;;;
1;na;2;27;1141;1169,008;1376,853;144,024;45,823;31,704;111,099;48,374;1155;1359;119,745;35,326;25,6725;2,858637884;;;;
1;na;2;28;83;1510,054;1362,127;32,385;10,571;9,997;52,918;11,662;1505;1365;30,964;10;1,8675;0,771001759;;;;
1;na;2;29;4550;171,938;1469,791;253,22;81,558;71,032;76,26;85,586;167;1514;83,29;72,125;102,375;5,708500206;;;;
1;na;2;30;55;1390,573;1475,464;26,971;8,642;8,103;164,807;9,487;1386;1475;161,565;8;1,2375;0,62762129;;;;
1;na;2;31;2880;1201,636;1560,59;251,966;89,981;40,752;101,075;96,026;1195;1508;98,383;43,385;64,8;4,54163854;;;;
1;na;2;32;2830;604,978;1579,347;231,966;91,303;39,465;72,006;88,769;590;1619;67,479;41,991;63,675;4,502041981;;;;
1;na;2;33;2134;1728,423;1585,361;182,468;62;43,824;168,495;66,851;1697;1572;158,039;43;48,015;3,909430801;;;;
1;na;2;34;7525;264,604;1779,391;365,664;130,716;73,297;176,383;133,417;194;1789;12,995;74,14;169,3125;7,341242579;;;;
1;na;2;35;276;1651,844;1874,844;75,456;33,521;10,483;100,043;32,28;1647;1859;106,189;10,853;6,21;1,405953197;;;;
1;na;2;36;236;1336,852;1877,347;69,154;30,322;9,91;140,609;29,411;1325;1868;144,689;11,412;5,31;1,300086726;;;;
1;na;3;1;8813;544,076;141,895;396,007;159,247;70,463;168,876;154,383;472;118;159,922;71,137;198,2925;7,944712903;;;;
1;na;3;2;841;1269,656;140,923;128,711;46,466;23,044;101,903;46,519;1259;120;115,463;25,895;18,9225;2,454224688;;;;
1;na;3;3;78;1276,577;175,962;33,799;10,677;9,301;103,382;12,207;1274;170;124,992;10;1,755;0,747418123;;;;
1;na;3;4;571;933,666;229,693;90,083;32,325;22,491;6,679;32,757;918;234;12,339;23;12,8475;2,022247824;;;;
1;na;3;5;4819;164,507;281,24;262,936;80,95;75,797;99,615;86,539;151;240;112,416;75,3;108,4275;5,874822992;;;;
1;na;3;6;8860;1885,807;301,181;377,144;141,449;79,752;37,797;136,242;1844;356;54,56;76,837;199,35;7,965869432;;;;
1;na;3;7;1778;309,39;295,184;198,752;75,153;30,123;99,207;79,076;307;255;103,158;33,359;40,005;3,568471241;;;;
1;na;3;8;661;361,346;289,347;101,497;39,777;21,158;13,471;39,56;342;294;16,144;21,011;14,8725;2,175790381;;;;
1;na;3;9;238;692,248;311,697;71,698;31,881;9,505;11,631;31,048;677;315;14,931;10,358;5,355;1,305583946;;;;
1;na;3;10;411;897,381;455,819;75,255;27,967;18,711;53,489;28,844;890;468;56,31;19,092;9,2475;1,715683733;;;;
1;na;3;11;50;1227,04;481,4;27,213;9,429;6,752;31,247;10,44;1222;484;16,699;7,606;1,125;0,598413421;;;;
1;na;3;12;256;1144,449;496,816;63,698;25,497;12,784;7,621;25,495;1132;501;11,31;13;5,76;1,354055001;;;;
1;na;3;13;5749;848,402;576,051;292,534;100,865;72,571;106,238;102,956;843;524;97,815;73,652;129,3525;6,416710961;;;;
1;na;3;14;4032;485,459;575,797;245,622;73,053;70,274;58,664;77,466;458;602;39,237;70,169;90,72;5,373739189;;;;
1;na;3;15;70;1346,843;586,571;30,627;10,902;8,175;115,745;12,083;1345;581;114,444;9;1,575;0,708052308;;;;
1;na;3;16;1673;1008,446;691,361;159,196;53,965;39,473;69,239;56,462;996;716;67,068;42;37,6425;3,461499659;;;;
1;na;3;17;402;458,53;677,062;76,669;28,356;18,05;19,714;29,732;444;682;19,654;19,232;9,045;1,696794896;;;;
1;na;3;18;1164;1128,003;697,495;126,61;40,379;36,704;31,112;41,976;1107;701;12,381;36,77;26,19;2,887305997;;;;
1;na;3;19;1536;403,579;757,514;179,581;54,51;35,878;14,247;58,189;375;750;160,942;40,941;34,56;3,316743835;;;;
1;na;3;20;85;1351,688;790,5;38,971;14,791;7,317;179,33;15,811;1345;787;161,565;7;1,9125;0,780235642;;;;
1;na;3;21;89;205,208;796,197;34,385;12,722;8,907;107,423;13,416;202;790;116,565;9;2,0025;0,798383083;;;;
1;na;3;22;603;375,694;800,969;104,912;37,689;20,371;173,297;38,639;355;800;169,563;23,202;13,5675;2,078140847;;;;
1;na;3;23;881;1033,637;824,474;133,397;48,384;23,184;0,071;49,649;1013;832;9,273;27;19,8225;2,511911169;;;;
1;na;3;24;2273;621,194;859,989;182,853;57,117;50,669;32,775;63,632;594;876;30,192;51,42;51,1425;4,034744522;;;;
1;na;3;25;851;1051,301;956,031;111,882;36,985;29,296;36,045;38,079;1039;971;60,068;31,033;19,1475;2,46877268;;;;
1;na;3;26;298;1096,842;980,678;73,355;30,08;12,614;102,19;30,594;1095;966;101,31;13,743;6,705;1,46091334;;;;
1;na;3;27;5199;1215,186;1023,593;287,421;103,006;64,264;164,15;99,504;1166;1015;174,232;63,314;116,9775;6,102056597;;;;
1;na;3;28;1732;1596,382;1178,189;184,752;62,275;35,411;80,268;63,6;1590;1206;73,56;42;38,97;3,52200742;;;;
1;na;3;29;5908;975,133;1291,36;347,563;107,606;69,906;97,317;118,903;959;1238;108,13;70;132,93;6,504839212;;;;
1;na;3;30;2511;1375,452;1384,786;228,451;84,678;37,756;70,762;87,132;1353;1421;58,134;42,667;56,4975;4,240720787;;;;
1;na;3;31;2382;286,849;1643,959;197,238;74,713;40,593;21,049;75,961;251;1656;20,821;42,065;53,595;4,130353296;;;;
1;na;3;32;3081;1394,463;1659,776;240,635;80,985;48,439;117,185;80,654;1384;1620;107,312;52,363;69,3225;4,697450062;;;;
1;na;3;33;1120;1218,209;1646,048;126,368;39,752;35,873;17,731;42,202;1198;1649;13,707;36,736;25,2;2,832209232;;;;
1;na;3;34;11499;480,376;1693,442;453,529;175,979;83,197;26,907;171,234;404;1725;20,869;83,662;258,7275;9,074994274;;;;
1;na;3;35;484;1831,55;1704,822;86,669;33,118;18,608;14,552;33,242;1815;1709;15,709;19,033;10,89;1,861825626;;;;
1;na;3;36;3955;1017,795;1784,132;263,865;97,6;51,595;83,527;97,985;993;1828;75,822;53,029;88,9875;5,322180098;;;;
1;na;3;37;97;339,222;1756,015;40,627;15,069;8,196;104,424;15,811;337;1749;108,435;8,735;2,1825;0,833493447;;;;
1;na;3;38;6363;984,027;1934,808;347,605;130,012;62,314;20,819;130,817;922;1943;11,911;68,758;143,1675;6,750676309;;;;
1;na;3;39;1162;1565,659;1916,222;148,368;59,054;25,053;8,859;59,034;1536;1921;10,739;26,301;26,145;2,884824427;;;;
1;na;3;40;427;1909,231;1942,193;77,841;26,536;20,488;4,113;27,166;1895;1942;173,66;21;9,6075;1,748760198;;;;
1;na;4;1;8805;1544,795;231,146;373,588;135,252;82,889;28,893;133,154;1481;249;14,349;79,962;198,1125;7,941106178;;;;
1;na;4;2;8834;144,424;277,956;374,316;137,891;81,57;34,942;132,257;84;304;20,353;78,781;198,765;7,954172775;;;;
1;na;4;3;13081;855,676;322,282;486,257;139,137;119,704;140,934;159,706;841;229;118,009;118,643;294,3225;9,679140534;;;;
1;na;4;4;2228;404,695;469,142;178,652;59,64;47,565;44,775;61,221;383;490;51,633;47,267;50,13;3,994605687;;;;
1;na;4;5;2120;450,412;541,333;176,894;62,403;43,255;124,041;61,741;440;513;114,905;42,696;47,7;3,896585887;;;;
1;na;4;6;10755;942,794;605,073;432,919;169,291;80,889;82,378;163,248;938;522;93,16;83,904;241,9875;8,776503494;;;;
1;na;4;7;269;1701,783;631,753;63,355;24,092;14,216;12,989;24,739;1690;636;14,036;15;6,0525;1,388009577;;;;
1;na;4;8;208;1466,514;645,755;54,87;20,479;12,932;4,299;20,881;1456;648;16,699;13;4,68;1,220528684;;;;
1;na;4;9;236;395,987;659,428;62,284;25,399;11,831;8,348;25,962;383;664;15,642;12;5,31;1,300086726;;;;
1;na;4;10;132;356,083;667,152;44,042;16,935;9,924;5,11;17,72;347;669;16,39;10;2,97;0,972306722;;;;
1;na;4;11;13800;502,739;794,965;496,576;196,104;89,599;164,546;188,449;412;763;155,883;89,814;310,5;9,941590399;;;;
1;na;4;12;489;1933,232;792,823;103,841;43,665;14,259;103,442;45,607;1927;773;105,255;16,446;11,0025;1,871417784;;;;
1;na;4;13;1947;1789,776;817,963;164,853;53,975;45,929;76,704;54,589;1784;792;98,427;45,843;43,8075;3,734214822;;;;
1;na;4;14;2048;1299,237;822,614;170,267;56,657;46,024;74,392;56,515;1293;795;103,299;45,763;46,08;3,829845892;;;;
1;na;4;15;72;9,833;889,028;31,799;10,847;8,452;68,691;11,662;7;894;59,036;9;1,62;0,718096105;;;;
1;na;4;16;560;574,345;935,055;91,841;35,071;20,33;10,285;35,44;558;940;16,39;21;12,6;2,002674353;;;;
1;na;4;17;179;1975,478;987,383;57,698;23,091;9,87;105,01;23,77;1972;976;112,249;10,76;4,0275;1,132251327;;;;
1;na;4;18;283;1631,196;1040,783;62,77;22,322;16,143;11,097;23,087;1620;1044;17,65;16,875;6,3675;1,423670678;;;;
