Sample;Tilt angle to optical axis;Image;;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
2;na;2;6;416;1465,351;1127,608;96,711;43,738;12,11;144,998;41,881;1448;1116;146,689;12,667;9,36;1,726088218;;;;
2;na;2;7;10542;1205,751;1233,046;418,056;163,609;82,04;46,8;160,016;1164;1302;59,589;79,006;237,195;8,689160688;;;;
2;na;2;8;936;1708,259;1280,599;113,154;37,056;32,161;147,37;38,419;1696;1266;128,66;32,651;21,06;2,589132326;;;;
2;na;2;9;9156;1432,083;1509,833;406,007;153,34;76,026;174,645;146,537;1360;1484;159,215;76,591;206,01;8,097840431;;;;
2;na;2;10;7084;629,369;1626,906;328,392;116,589;77,363;52,367;119,004;585;1668;41,594;79,109;159,39;7,122879527;;;;
2;na;2;11;6351;1418,804;1727,061;344,576;134,075;60,312;62,394;134,462;1396;1793;67,249;66,477;142,8975;6,744307745;;;;
2;na;2;12;4785;883,063;1762,517;264,049;86,98;70,044;34,361;87,132;854;1795;58,134;68,321;107,6625;5,854061677;;;;
2;na;2;13;4823;1811,872;1792,922;271,848;99,892;61,475;124,486;96,317;1802;1746;102,593;60,208;108,5175;5,877260678;;;;
2;na;2;14;3068;1899,404;1884,584;212,794;74,658;52,322;103,725;75,954;1896;1848;99,09;52,568;69,03;4,687529354;;;;
2;na;3;1;5878;723,56;96,652;319,546;127,115;58,877;37,196;122,025;683;141;49,653;58,52;132,255;6,48830286;;;;
2;na;3;2;1400;647,644;408,897;140,225;45,54;39,142;109,831;47,202;634;390;126,384;39;31,5;3,166506184;;;;
2;na;3;3;5415;1710,696;435,748;287,924;102,987;66,946;172,555;101,213;1667;409;150,396;63,474;121,8375;6,227526054;;;;
2;na;3;4;8609;1076,675;607,352;365,889;130,898;83,74;20,803;128,655;1011;622;11,659;84,222;193,7025;7,852223935;;;;
2;na;3;5;18775;1011,851;883,63;615,838;197,423;121,086;36,831;196,596;965;977;60,436;120,147;422,4375;11,59594897;;;;
2;na;3;6;798;657,113;889,184;113,054;44,332;22,919;115,634;44,777;648;869;113,703;23,709;17,955;2,390659743;;;;
2;na;3;7;3877;659,582;1025,135;234,167;76,811;64,266;118,289;81,4;635;994;127,011;64,947;87,2325;5,269437081;;;;
2;na;3;8;1330;733,838;1078,735;156,995;65,728;25,764;59,288;63,977;721;1108;65,037;25,76;29,925;3,086328457;;;;
2;na;3;9;432;1861,454;1068,681;75,841;25,219;21,811;126,836;26,077;1854;1058;122,471;22,407;9,72;1,758969043;;;;
2;na;3;10;4614;1149,427;1226,896;258,978;80,115;73,329;86,242;87,098;1142;1270;77,4;72,01;103,815;5,748507705;;;;
2;na;3;11;11667;905,924;1275,2;437,061;129,766;114,474;22,011;139,943;845;1299;30,964;115,063;262,5075;9,141046573;;;;
2;na;3;12;2980;669,726;1371,327;207,037;69,855;54,316;105,999;71,344;666;1336;95,631;54,119;67,05;4,619813618;;;;
2;na;3;13;5855;1170,057;1454,373;304,676;107,755;69,183;36,406;106,019;1137;1496;54,211;68,493;131,7375;6,475596392;;;;
2;na;3;14;10921;558,506;1718,723;427,044;156,555;88,819;62,704;159,411;525;1799;66,329;89,848;245,7225;8,843975407;;;;
2;na;4;1;625;1015,601;200,622;96,225;35,62;22,34;57,938;35,847;1006;215;59,859;23,281;14,0625;2,115710938;;;;
2;na;4;2;6177;1146,193;334,956;300,191;96,128;81,816;103,592;100,603;1141;385;83,723;80,573;138,9825;6,651278355;;;;
2;na;4;3;10605;1348,866;390,802;482,801;195,989;68,895;45,895;193,982;1291;469;50,648;80,65;238,6125;8,71508564;;;;
2;na;4;4;5858;1758,184;475,945;311,823;121,852;61,211;91,049;116,709;1747;419;102,369;60;131,805;6,477255171;;;;
2;na;4;5;2539;764,646;522,815;188,995;64,579;50,059;32,026;65,437;740;545;38,797;50,416;57,1275;4,264299242;;;;
2;na;4;6;10048;1118,3;584,558;392,191;140,317;91,176;69,965;142,804;1102;657;68,646;92,027;226,08;8,483130264;;;;
2;na;4;7;2860;1477,753;575,587;205,823;75,061;48,513;110,821;76,694;1463;540;112,218;50,283;64,35;4,525841488;;;;
2;na;4;8;3748;602,651;697,572;230,108;72,461;65,857;131,242;74,847;568;683;157,203;64,828;84,33;5,181030081;;;;
2;na;4;9;5217;270,498;752,208;274,291;87,254;76,128;96,431;92,396;266;799;80,028;75,39;117,3825;6,112610753;;;;
2;na;4;10;9601;1562,136;820,396;423,002;169,544;72,101;131,563;171,33;1507;752;132,161;75,255;216,0225;8,292291444;;;;
2;na;4;11;6426;1609,197;1127,265;317,948;107,801;75,898;146,364;112,699;1564;1099;138,958;79,34;144,585;6,784013185;;;;
2;na;4;12;1497;1342,103;1218,592;147,681;52,903;36,029;135,37;53,413;1325;1197;128,157;36,77;33,6825;3,274366006;;;;
2;na;4;13;4513;986,105;1275,689;255,179;83,814;68,558;105,919;84,717;986;1232;97,461;70,14;101,5425;5,685242441;;;;
2;na;4;14;3600;1712,8;1346,586;230,25;82,462;55,585;125,008;80,604;1689;1315;127,439;54,814;81;5,077706252;;;;
2;na;4;15;6789;604,539;1526,403;322,693;116,323;74,311;164,704;115,953;554;1497;156,088;72,255;152,7525;6,972992965;;;;
2;na;4;16;4788;569,835;1592,926;276,309;80,276;75,941;155,308;90,139;550;1547;123,69;75,306;107,73;5,855896519;;;;
2;na;4;17;1915;771,491;1604,012;174,652;67,833;35,945;147,384;66,038;743;1587;147,995;35,335;43,0875;3,703400764;;;;
2;na;5;1;1859;904,355;81,148;159,196;50,637;46,743;165,063;51,4;883;66;142,907;46;41,8275;3,648850061;;;;
2;na;5;2;1520;619,053;136,291;157,48;58,73;32,953;61,761;59,203;612;166;74,32;33,566;34,2;3,299423905;;;;
2;na;5;3;3822;474,637;150,243;261,823;103,181;47,163;168,538;99,639;422;147;169,592;49,08;85,995;5,231926859;;;;
2;na;5;4;4968;1315,247;262,017;281,12;101,891;62,081;25,598;98,843;1267;270;11,083;59,481;111,78;5,964954239;;;;
2;na;5;5;7247;732,002;326,779;346,635;123,653;74,621;100,55;129,541;723;256;105,216;79,628;163,0575;7,204360781;;;;
2;na;5;6;1151;569,528;353,004;126,711;43,126;33,982;90,776;44,553;568;375;80,961;34;25,8975;2,871137454;;;;
2;na;5;7;1238;988,468;354,334;133,296;43,303;36,401;59,279;44,407;971;367;35,838;36,874;27,855;2,977670546;;;;
2;na;5;8;5521;821,72;617,445;284,676;88,432;79,491;77,159;97,082;813;664;78,111;80,416;124,2225;6,288183349;;;;
2;na;5;9;931;264,18;677,462;116,953;41,757;28,388;150,878;41,785;245;670;158,962;28,034;20,9475;2,582207649;;;;
2;na;5;10;10855;512,645;753,099;418,836;156,208;88,479;167,747;152,856;442;723;159,312;86,646;244,2375;8,817211057;;;;
2;na;5;11;2584;1186,577;1038;194,208;67,67;48,619;124,573;66,219;1161;1017;141,746;47,549;58,14;4,301922452;;;;
2;na;5;12;1013;575,67;1109,913;133,439;54,921;23,485;57,552;53,852;563;1133;58,671;23,5;22,7925;2,693525214;;;;
2;na;5;13;10438;1220,132;1246,403;396,316;136,87;97,1;38,392;135,484;1183;1304;58,891;97,581;234,855;8,646193863;;;;
2;na;5;14;4377;536,609;1308,501;251,078;85,011;65,556;21,456;85,907;495;1317;12,095;64,923;98,4825;5,598924304;;;;
2;na;5;15;5005;561,831;1533,513;272,35;90,185;70,661;72,567;90,255;564;1580;80,433;69,556;112,6125;5,987125525;;;;
2;na;5;16;3970;1031,618;1623,843;259,12;90,612;55,785;131,487;88,769;1015;1585;112,521;56,179;89,325;5,332263176;;;;
2;na;5;17;1311;427,934;1706,833;152,995;62,552;26,685;146,908;60,745;402;1692;147,095;26,132;29,4975;3,064203953;;;;
2;na;5;18;10392;969,306;1907,426;392,635;130,858;101,113;63,289;135,473;922;1957;49,49;99,561;233,82;8,627121049;;;;
2;na;5;19;3788;1882,457;1953,595;248,409;92,197;52,312;159,375;91,526;1845;1927;146,136;52,115;85,23;5,208603613;;;;
2;na;6;1;5686;1624,173;156,415;287,581;96,882;74,727;171,81;98,473;1582;130;145,342;71;127,935;6,381455578;;;;
2;na;6;2;2882;1482,192;222,913;202,108;67,068;54,713;96,857;70,456;1477;188;96,52;54,566;64,845;4,543215224;;;;
2;na;6;3;4232;377,19;449,091;256,836;93,423;57,677;137,732;96,021;338;420;144,324;58,719;95,22;5,50540347;;;;
2;na;6;4;6446;1692,113;538,585;323,581;124,908;65,707;85,638;118,207;1698;479;93,395;61,841;145,035;6,794562116;;;;
2;na;6;5;6827;200,183;675,349;330,995;123,908;70,152;172,084;121,078;147;649;157,671;68,72;153,6075;6,992480664;;;;
2;na;6;6;965;1686,385;748,798;114,711;37,271;32,966;65,667;38,601;1680;767;73,443;33,234;21,7125;2,628935793;;;;
2;na;6;7;1436;1901,093;810,717;151,681;58,052;31,495;68,39;57,974;1896;839;75,005;32,063;32,31;3,206959997;;;;
2;na;6;8;5686;1262,671;849,243;300,233;113,598;63,73;46,695;113,018;1236;898;59,123;61,895;127,935;6,381455578;;;;
2;na;6;9;3902;737,637;894,966;236,451;79,496;62,496;66,634;81,939;720;932;66,251;65,305;87,795;5,286399196;;;;
2;na;6;10;7662;492,947;1175,15;409,889;112,372;86,815;167,866;129,468;423;1175;175,126;87,212;172,395;7,407768411;;;;
2;na;6;11;4970;2017,833;1180,656;289,664;108,462;58,343;101,883;112,294;2012;1129;98,707;61,556;111,825;5,966154794;;;;
2;na;6;12;8409;859,646;1277,843;362,735;126,042;84,945;151,8;131,488;813;1233;145,222;89,417;189,2025;7,76047848;;;;
2;na;6;13;2725;579,257;1422,246;224,836;91,217;38,036;139,475;91,679;542;1391;140,755;40,304;61,3125;4,417734136;;;;
2;na;6;14;7084;1733,553;1833,562;340,576;126,436;71,338;124,43;125,992;1687;1787;137,573;69,643;159,39;7,122879527;;;;
2;na;6;15;1652;1485,357;1992,898;186,309;78,765;26,705;63,094;76,557;1468;2030;66,114;28,997;37,17;3,43970616;;;;
2;na;7;1;923;1830,166;200,219;114,711;39,928;29,433;66,325;40,522;1824;220;74,249;29,96;20,7675;2,571089372;;;;
2;na;7;2;3231;714,111;256,086;217,137;77,314;53,21;51,05;78,6;693;290;53,276;54,452;72,6975;4,810439996;;;;
2;na;7;3;14053;1210,331;285,048;544,233;227,928;78,502;166,514;222,463;1100;257;167,276;83,011;316,1925;10,03230774;;;;
2;na;7;4;2469;1509,414;328,1;187,137;58,107;54,101;103,621;61,612;1504;359;76,866;53,543;55,5525;4,205105225;;;;
2;na;7;5;8316;304,172;451,568;355,38;124,65;84,944;173,211;121,758;246;470;19,179;80,784;187,11;7,717445355;;;;
2;na;7;6;5104;984,889;515,966;282,392;105,435;61,636;120,263;104,957;962;470;120,964;62,169;114,84;6,046048902;;;;
2;na;7;7;4382;1609,27;583,009;263,338;98,425;56,686;84,979;94,366;1603;536;99,762;54,949;98,595;5,602121315;;;;
2;na;7;8;1208;321,353;620,333;128,811;40,559;37,922;37,871;43,012;304;633;35,538;38;27,18;2,941370889;;;;
2;na;7;9;4532;1005,745;696,275;258,635;88,517;65,189;131,063;88,685;967;674;150,255;63,359;101,97;5,697197477;;;;
2;na;7;10;530;1295,194;979,758;92,569;36,834;18,321;150,662;36,359;1280;970;148,496;18,454;11,925;1,948292943;;;;
2;na;7;11;5673;186,138;1063,46;323,262;121,962;59,224;129,01;131,187;148;1008;123,811;64,347;127,6425;6,374156387;;;;
2;na;7;12;2448;605,02;1242,343;235,865;93,437;33,358;111,909;94,515;576;1200;119,82;39,416;55,08;4,187183843;;;;
2;na;7;13;2989;1820,523;1403,574;207,681;69,616;54,667;77,555;68,884;1797;1429;50,301;52,602;67,2525;4,626784588;;;;
2;na;7;14;15706;1236,486;1476,199;532,642;207,266;96,482;146,92;206,155;1164;1410;140,906;98,567;353,385;10,60593886;;;;
2;na;7;15;5814;575,747;1530,982;290,167;95,936;77,162;175,891;97,417;535;1557;31,569;73,85;130,815;6,452883678;;;;
2;na;7;16;11565;812,127;1678,426;490,517;199,581;73,78;67,23;193,941;783;1776;66,607;78,749;260,2125;9,101000564;;;;
2;na;7;17;1289;1890,138;1747,83;135,439;47,706;34,403;39,178;47,802;1875;1767;52,651;34,352;29,0025;3,038384846;;;;
2;na;7;18;5111;1668,787;1908,628;282,919;106,416;61,152;41,501;103,73;1641;1953;56,004;58,819;114,9975;6,050193479;;;;
2;na;7;19;2516;1003,352;1918,862;204,125;80,33;39,879;83,497;76,942;993;1957;81,027;37,95;56,61;4,244940831;;;;
2;na;8;1;1852;645,571;514,97;184,309;70,847;33,284;59,39;68,007;629;544;53,973;33,92;41,67;3,641973772;;;;
2;na;8;2;10385;565,859;688,93;396,392;131,406;100,624;91,123;133,933;536;624;113,311;99,908;233,6625;8,624214966;;;;
2;na;8;3;15177;1181,653;880,279;549,612;221,659;87,179;132,941;222,194;1102;803;137,189;93,318;341,4825;10,42579761;;;;
2;na;8;4;8575;1470,351;1042,495;400,149;163,364;66,833;167,199;154,69;1398;1019;163,088;66,057;192,9375;7,836702984;;;;
2;na;8;5;2833;407,405;1142,876;204,368;72,334;49,867;87,294;69,871;402;1109;99,058;48;63,7425;4,504427591;;;;
2;na;8;6;8486;1780,347;1155,32;379,421;141,184;76,529;173,75;140,801;1715;1138;163,496;76,041;190,935;7,795928304;;;;
2;na;8;7;4358;1821,667;1227,788;266,978;97,15;57,115;48,971;102,927;1798;1270;57,7;58,603;98,055;5,586758979;;;;
2;na;8;8;3120;1885,564;1345,482;215,581;74,725;53,162;55,272;77,233;1855;1370;41,326;54,397;70,2;4,727087265;;;;
2;na;8;9;1570;1408,911;1416,041;148,811;49,928;40,038;83,258;49,769;1397;1438;67,557;39;35,325;3,353251665;;;;
2;na;8;10;1985;689,129;1421,473;174,066;62,482;40,45;157,64;62,817;657;1415;166,185;40,237;44,6625;3,770479451;;;;
2;na;8;11;4419;1815,982;1505,16;256,635;85,006;66,189;121,108;84,694;1777;1486;157,068;63,456;99,4275;5,625722728;;;;
2;na;8;12;2440;1631,07;1798,266;187,238;55,859;55,617;145,746;60,166;1621;1826;68,552;54,024;54,9;4,18033644;;;;
2;na;8;13;2184;519,473;1886,063;174,652;55,278;50,305;48,864;57,94;510;1913;68,749;50,011;49,14;3,954964956;;;;
2;na;8;14;4091;1318,635;1939,566;252,066;94,844;54,92;168,131;93,301;1273;1927;160,594;55,181;92,0475;5,412913194;;;;
