Sample;Tilt angle to optical axis;Image;;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;3;13;1087;1219,678;1478,302;123,296;41,628;33,248;70,912;42,72;1214;1499;69,444;34,132;24,4575;2,790172762;;;;
1;na;3;14;7339;1787,854;1684,411;357,889;127,714;73,166;53,464;131,015;1740;1720;35,995;71,177;165,1275;7,249945912;;;;
1;na;3;15;918;1289,918;1664,498;112,811;36,695;31,853;55,779;38,013;1275;1676;35,362;31,94;20,655;2,564115968;;;;
1;na;3;16;3609;1828,457;1808,828;229,421;72,89;63,042;49,278;75,961;1791;1819;20,821;62,14;81,2025;5,084049423;;;;
1;na;3;17;3092;1109,038;1985,182;211,38;68,464;57,503;138,195;72,201;1078;1968;149,172;57,268;69,57;4,705828172;;;;
1;na;3;18;978;888,641;2001,402;116,225;38,185;32,611;88,064;39,56;884;2021;73,856;32,818;22,005;2,646584411;;;;
1;na;4;1;6358;1112,889;103,003;307,404;96,929;83,517;170,599;104,924;1061;112;10,989;80,627;143,055;6,748023471;;;;
1;na;4;2;4990;1327,985;271,9;299,078;102,661;61,888;170,405;108,171;1271;264;166,092;69,485;112,275;5,978147077;;;;
1;na;4;3;6178;1669,014;337,964;303,907;103,991;75,642;25,037;102,728;1637;378;48,552;74,791;139,005;6,651816724;;;;
1;na;4;4;1450;1037,302;491,732;144,51;52,229;35,348;124,076;53,235;1025;468;118,009;35,355;32,625;3,222554893;;;;
1;na;4;5;13815;1658,099;677,483;477,262;178,619;98,477;7,939;175,385;1573;664;172,794;97,647;310,8375;9,94699197;;;;
1;na;4;6;2597;958,537;668,35;196,108;66,528;49,702;46,133;67,543;929;686;25,427;49,25;58,4325;4,312730275;;;;
1;na;4;7;1909;515,864;707,167;164,752;56,686;42,879;58,253;56,321;509;734;73,496;43,206;42,9525;3,697594541;;;;
1;na;4;8;4275;715,408;1316,346;251,321;80,141;67,919;1,927;87,098;672;1328;12,6;67,889;96,1875;5,533302104;;;;
1;na;4;9;8432;1536,784;1503,141;378,375;139,243;77,102;158,979;135,074;1469;1493;172,77;74,9;189,72;7,771084326;;;;
1;na;4;10;3058;762,064;1675,835;217,421;80,827;48,172;52,413;78,243;738;1706;51,226;48,279;68,805;4,679883729;;;;
1;na;4;11;889;35,822;1699,069;111,74;39,713;28,503;178,409;39,812;16;1701;11,592;28;20,0025;2,523290213;;;;
1;na;4;12;1322;1537,142;1749,327;138,953;46,214;36,422;72,427;46,098;1531;1727;102,529;36,608;29,745;3,077032266;;;;
1;na;4;13;759;594,534;1772,113;105,497;39,509;24,46;76,019;40,497;587;1791;69,775;24,991;17,0775;2,331509614;;;;
1;na;4;14;2707;144,334;1850,06;201,924;66,475;51,849;113,215;67,624;124;1823;128,395;50,286;60,9075;4,40311928;;;;
1;na;5;1;10120;592,849;335,526;408,517;149,744;86,048;158,578;144,128;521;328;172,826;83,364;227,7;8,513469392;;;;
1;na;5;2;1945;1328,865;347,607;167,581;59,206;41,828;124,745;60,902;1314;321;119,511;43,134;43,7625;3,732296397;;;;
1;na;5;3;14582;1172,692;615,118;502,375;194,962;95,231;82,786;197,952;1154;713;77,157;94,955;328,095;10,21938756;;;;
1;na;5;4;2431;593,579;579,452;186,066;61,094;50,664;89,39;64,288;586;548;105,333;51,886;54,6975;4,172619681;;;;
1;na;5;5;2565;1805,994;717,159;195,723;63,679;51,286;93,937;68,066;1796;681;100,154;53,3;57,7125;4,28607738;;;;
1;na;5;6;11388;156,38;831,375;425,747;146,869;98,725;4,718;149,723;84;814;164,107;97,082;256,23;9,031087539;;;;
1;na;5;7;8358;283,653;1005,058;351,161;115,825;91,878;104,952;117,958;268;947;97,306;90,846;188,055;7,736909308;;;;
1;na;5;8;6617;608,424;1078,062;327,362;124,832;67,491;151,125;128,016;554;1048;151,032;72,74;148,8825;6,884095556;;;;
1;na;5;9;964;1593,777;1268,605;118,912;45,206;27,151;96,293;45,354;1589;1246;104,036;26;21,69;2,627573297;;;;
1;na;5;10;2883;309,323;1503,18;202,409;64,04;57,32;115,313;66,4;283;1483;142,958;56,294;64,8675;4,544003361;;;;
1;na;5;11;6712;1254,014;1589,143;311,362;102,926;83,03;166,992;103,947;1202;1580;172,26;83,64;151,02;6,933336788;;;;
1;na;5;12;8408;1487,495;1685,104;360,191;123,574;86,631;173,415;130,633;1426;1664;160,317;86,972;189,18;7,760017028;;;;
1;na;5;13;6693;1097,355;1740,086;325,505;119,076;71,566;149,826;116,245;1042;1725;158,29;70,52;150,5925;6,923516558;;;;
