MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;27;7472;179,2944715;55,23590063;3,245977154;673,9836724;505,0816381;168,12;7,315344016;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;28;3500;81,49584857;56,23577894;1,449181466;659,8237143;689,0682857;78,75;5,006685884;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;29;6714;129,3254975;67,78906001;1,907763545;681,6557939;1197,671731;151,065;6,934369687;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;30;6723;107,8297971;81,18438176;1,328208638;679,5696862;285,4544102;151,2675;6,939015831;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;31;1009;43,74269154;29,669605;1,474326724;645,4826561;1732,576809;22,7025;2,688202037;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;32;249;23,08697124;14,03905553;1,644481795;645,5140562;802,2610442;5,6025;1,335414219;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;33;113;14,49852156;9,913247276;1,46254009;645,6017699;1346,256637;2,5425;0,899612631;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;34;373;33,83343898;15,84886375;2,134754864;694,3887399;1736,525469;8,3925;1,63444661;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;35;895;69,73082086;19,58393651;3,560613098;733,1631285;1739,240223;20,1375;2,531790934;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;36;104;14,33240927;9,282583914;1,544010741;751,7019231;1147,653846;2,34;0,863044109;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;37;485;40,75357231;17,62658921;2,312050949;776,8391753;1775,713402;10,9125;1,863748007;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;38;254;21,93346892;16,55544368;1,324849357;777,9448819;1747,452756;5,715;1,348755352;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;39;5936;217,1116462;44,98452604;4,826362871;906,8003706;1786,679751;133,56;6,520235302;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;40;167;18,12613011;11,77428423;1,539467687;828,1676647;250,994012;3,7575;1,093640433;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;41;1083;57,37039082;25,70461464;2,231910169;850,8199446;510,9095106;24,3675;2,785034318;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;42;1508;56,9332394;33,96737674;1,676115287;876,7281167;1179,817639;33,93;3,286374056;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;43;291;24,75977423;15,02407076;1,64800703;901,2268041;538,1649485;6,5475;1,443652998;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;44;188;16,85464551;14,37744326;1,172297828;899,2606383;1568,170213;4,23;1,160366674;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;45;458;27,28006619;21,43900342;1,272450293;948,849345;1096,744541;10,305;1,811127653;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;46;2883;70,61946001;53,51665849;1,319579025;970,0332986;573,5747485;64,8675;4,544003361;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;47;377;36,89080788;16,50608752;2,234981962;976,2015915;1387,530504;8,4825;1,643187028;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;48;264;21,08605116;17,69961267;1,191328395;975,0795455;1581,325758;5,94;1,375049353;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;49;1138;39,63389692;37,4424162;1,058529362;1021,420914;881,301406;25,605;2,854877342;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;50;335;34,26221765;14,58503982;2,349134323;1060,928358;532,6507463;7,5375;1,548954734;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;51;292;27,56196029;14,04901909;1,961842326;1086,465753;1987,808219;6,57;1,446131374;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;52;740;34,98557285;27,18634756;1,286880217;1093,697297;1252,556757;16,65;2,302142395;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;53;20870;330,2266794;96,69719498;3,415059552;1202,975803;537,777815;469,575;12,22580733;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;54;176;18,19379287;12,39759091;1,467526474;1104,795455;574,3352273;3,96;1,122723096;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;55;1088;55,67360434;27,11397696;2,053317535;1130,817096;1774,050551;24,48;2,791455895;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;56;2617;93,32426936;39,69416211;2,351082991;1191,405808;1945,536492;58,8825;4,32930501;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;57;2490;112,7039011;32,98740109;3,416574129;1196,251004;162,9823293;56,025;4,222950553;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;58;51736;797,4335114;135,8458501;5,870135237;1551,232817;1134,81278;1164,06;19,24920274;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;59;9071;139,4765237;84,64286854;1,647823687;1260,013119;1355,868702;204,0975;8,060164514;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;60;199;19,13629533;13,752557;1,391471806;1284,577889;2016,582915;4,4775;1,193831025;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;61;211;17,20995416;15,6687897;1,09835887;1287,971564;482,5687204;4,7475;1,229299062;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;62;220;34,51305165;8,548781337;4,037189664;1319,663636;1050,722727;4,95;1,255242581;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;63;1438;52,73860914;35,12747074;1,501349458;1343,659249;1312,403338;32,355;3,209192479;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;64;907;58,93823845;22,63529612;2,603820075;1446,090408;1180,058434;20,4075;2,54870732;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;65;188;18,61539359;12,91285819;1,441616822;1433,765957;280,5957447;4,23;1,160366674;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;66;215;25,58857097;10,83353492;2,361977983;1448,730233;661,8232558;4,8375;1,24089648;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;67;2483;63,59727809;52,16772069;1,21909252;1474,897302;1447,946839;55,8675;4,217010501;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;68;203;28,4268784;9,654294836;2,944480035;1504,605911;734,7438424;4,5675;1,205769632;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;69;509;40,76509222;16,31657725;2,498385022;1538,842829;1451,620825;11,4525;1,909304578;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;70;402;45,81623044;11,622584;3,942000371;1529,375622;670,9577114;9,045;1,696794896;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;71;16324;308,0925262;76,25693526;4,040190248;1667,800662;606,9198113;367,29;10,81258702;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;72;1047;52,30884334;32,07109914;1,631027459;1592,26361;869,1117479;23,5575;2,738354459;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;73;735;47,15009376;20,89099972;2,256957273;1594,614966;251,4965986;16,5375;2,294351704;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;74;774;53,78248207;20,63328992;2,606587815;1588,541344;764,4328165;17,415;2,354435531;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;75;157;18,49558215;10,95151094;1,688861222;1591,898089;979,2738854;3,5325;1,060391283;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;76;216;20,60732248;14,13134505;1,45827042;1601,166667;1867,425926;4,86;1,243778938;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;77;1986;74,43967097;38,82002189;1,917558707;1639,890735;1834,932024;44,685;3,771429075;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;78;165;24,03634842;9,150832645;2,626684297;1617,50303;729,2424242;3,7125;1,087071963;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;79;425;39,09834425;14,37217469;2,720419498;1658,451765;109,8188235;9,5625;1,744659934;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;80;116;12,57108519;11,78427448;1,066767853;1736,043103;686,25;2,61;0,911476167;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;81;424;28,84438882;18,92777738;1,523918431;1787,584906;1483,853774;9,54;1,742606184;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;82;732;46,5683258;21,13909002;2,20294846;1797,651639;295,613388;16,47;2,289664566;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;83;12867;148,5278865;142,0889777;1,045316034;1852,817984;1864,648791;289,5075;9,599640586;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;84;289;30,30883564;12,55247632;2,414570231;1846,124567;1178,079585;6,5025;1,438683438;4;8;Otsu;3;255;0;05.04.2023
