MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
190C-2500h;Sample1;Stelle3 DF 20s;6;6730;119,9351207;72,9397585;1,644303781;966,5778603;224,6805349;151,425;6,94262735;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;7;7360;103,2127658;92,29628302;1,118276516;1053,858424;617,4827446;165,6;7,260311092;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;8;9910;201,4744656;65,39639181;3,080819293;1115,19001;1873,814733;222,975;8,424674882;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;9;6489;124,6006003;67,86536037;1,835997034;1459,617661;898,5834489;146,0025;6,817187041;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;10;6560;112,8057778;80,03718771;1,40941706;1538,45122;589,6371951;147,6;6,854381022;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;11;5723;100,3073383;73,05485516;1,373041368;1623,92137;1523,0982;128,7675;6,402184648;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;12;9503;142,4163043;88,2903164;1,613045576;1934,438072;504,7341892;213,8175;8,249862065;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;1;10372;124,9715556;111,9654993;1,116161285;397,80457;1709,72474;233,37;8,618815356;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;2;681;36,35257075;27,77653454;1,308751122;588,6108664;1458,399413;15,3225;2,208461734;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;3;12095;188,6944003;83,69401862;2,254574501;828,8724266;849,6172799;272,1375;9,307204556;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;4;2448;63,0969128;50,38107006;1,252393264;978,5486111;147,6968954;55,08;4,187183843;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;5;8246;135,4860835;80,67675397;1,679369543;1091,850958;400,0497211;185,535;7,684895883;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;6;6513;118,9090255;70,47673612;1,687209596;1343,804545;1088,926608;146,5425;6,829782317;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;7;8743;153,2753041;74,25851572;2,064077131;1363,650921;1654,174768;196,7175;7,913098321;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;8;6403;129,6103195;63,72768427;2,033814988;1535,404342;1653,726534;144,0675;6,7718616;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;9;9426;131,4226175;93,07518235;1,412004943;1768,704116;978,6561638;212,085;8,216370988;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;10;156;15,51949066;14,09610966;1,100976868;1973,878205;987,8205128;3,51;1,057008846;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;11;884;76,24521651;24,02286433;3,173860347;2003,737557;911,7251131;19,89;2,516184341;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;12;108;17,61432774;8,810156659;1,999320604;2033,314815;884,1388889;2,43;0,879484521;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;1;3878;78,69239574;66,26773923;1,187491782;245,8527592;1660,020371;87,255;5,270116613;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;2;4262;92,35088242;59,88158071;1,542225194;329,2773346;757,8474894;95,895;5,524882491;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;3;1300;48,04638421;35,2225495;1,364080252;562,5276923;1982,497692;29,25;3,051321709;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;4;1104;42,85756047;32,98889509;1,299151134;580;1080,605978;24,84;2,811906395;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;5;22120;370,6043861;90,45140011;4,09727639;846,9120253;726,8712025;497,7;12,58661314;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;6;2143;63,96882505;43,1282465;1,483223415;974,7326178;100,5020999;48,2175;3,917666006;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;7;3886;108,5138331;46,25712712;2,345883541;1090,820381;1298,649511;87,435;5,275549725;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;8;1302;52,41893398;33,89699625;1,546418261;1577,635177;1139,887097;29,295;3,053667977;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;9;11955;154,7232456;100,2002378;1,544140504;1690,514262;421,7600167;268,9875;9,253182183;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;10;311;28,22723621;20,29890904;1,390578979;1721,983923;1079,524116;6,9975;1,492438752;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle5 DF 20s;11;816;43,49173192;24,22556731;1,795282288;1924,643382;1805,446078;18,36;2,417471719;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;1;1593;76,22584146;27,94996663;2,727224775;136,0138104;755,1494036;35,8425;3,377724396;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;2;391;72,0792093;7,319231465;9,84792046;250,5703325;909,7928389;8,7975;1,673419022;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;3;6208;229,9802756;37,24397227;6,174966352;366,1219394;729,1372423;139,68;6,667947578;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;4;9668;648,330032;20,31004866;31,92163854;657,0868846;1138,563922;217,53;8,321174769;4;8;Otsu;3;255;0;05.04.2023
