dataset,temp,aging_time,stress,rois,chi squared,rm,rm stderr,sigma,sigma stderr,ra,ra stderr,n_bins,start,end,bin_width
T23.0°C_D0.0hr_S0MPa,23.0,0.0,0.0,https://metadata.omero.matolab.org/api/rois/51 https://metadata.omero.matolab.org/api/rois/52 https://metadata.omero.matolab.org/api/rois/53 https://metadata.omero.matolab.org/api/rois/202 https://metadata.omero.matolab.org/api/rois/55 https://metadata.omero.matolab.org/api/rois/56 https://metadata.omero.matolab.org/api/rois/57 https://metadata.omero.matolab.org/api/rois/58 https://metadata.omero.matolab.org/api/rois/59 https://metadata.omero.matolab.org/api/rois/60 https://metadata.omero.matolab.org/api/rois/61 https://metadata.omero.matolab.org/api/rois/62,0.0014422459000479812,1.409365962929496,0.03486290246721466,0.5171589708704238,0.01424272863193753,1.611018571646224,0.039851099581992275,8,0,14.0,1.0
T190.0°C_D250.0hr_S0MPa,190.0,250.0,0.0,https://metadata.omero.matolab.org/api/rois/72 https://metadata.omero.matolab.org/api/rois/73 https://metadata.omero.matolab.org/api/rois/63 https://metadata.omero.matolab.org/api/rois/64 https://metadata.omero.matolab.org/api/rois/65 https://metadata.omero.matolab.org/api/rois/66 https://metadata.omero.matolab.org/api/rois/67 https://metadata.omero.matolab.org/api/rois/68 https://metadata.omero.matolab.org/api/rois/69 https://metadata.omero.matolab.org/api/rois/70 https://metadata.omero.matolab.org/api/rois/71,0.003010306067510156,1.997975813581486,0.06833212397320203,0.8894656017369018,0.03076340137864555,2.967468116382184,0.1014894163566819,20,0,14.0,1.0
T190.0°C_D1000.0hr_S0MPa,190.0,1000.0,0.0,https://metadata.omero.matolab.org/api/rois/83 https://metadata.omero.matolab.org/api/rois/84 https://metadata.omero.matolab.org/api/rois/81 https://metadata.omero.matolab.org/api/rois/82 https://metadata.omero.matolab.org/api/rois/85 https://metadata.omero.matolab.org/api/rois/74 https://metadata.omero.matolab.org/api/rois/75 https://metadata.omero.matolab.org/api/rois/76 https://metadata.omero.matolab.org/api/rois/77 https://metadata.omero.matolab.org/api/rois/78 https://metadata.omero.matolab.org/api/rois/79 https://metadata.omero.matolab.org/api/rois/80,0.002154718417930845,2.2688219381424144,0.1206884495522601,0.9282777915125087,0.045403646430100954,3.4907288568285444,0.18568696223155343,9,0,14.0,1.0
T190.0°C_D2500.0hr_S0MPa,190.0,2500.0,0.0,https://metadata.omero.matolab.org/api/rois/86 https://metadata.omero.matolab.org/api/rois/87 https://metadata.omero.matolab.org/api/rois/88 https://metadata.omero.matolab.org/api/rois/89 https://metadata.omero.matolab.org/api/rois/90 https://metadata.omero.matolab.org/api/rois/100 https://metadata.omero.matolab.org/api/rois/101 https://metadata.omero.matolab.org/api/rois/102 https://metadata.omero.matolab.org/api/rois/91 https://metadata.omero.matolab.org/api/rois/92 https://metadata.omero.matolab.org/api/rois/93 https://metadata.omero.matolab.org/api/rois/94 https://metadata.omero.matolab.org/api/rois/95 https://metadata.omero.matolab.org/api/rois/96 https://metadata.omero.matolab.org/api/rois/97 https://metadata.omero.matolab.org/api/rois/98 https://metadata.omero.matolab.org/api/rois/99,0.004217091259117631,3.106362265111234,0.23744128660201874,1.008604402141168,0.05998961221508643,5.165974569038141,0.3948720540428669,13,0,14.0,1.0
T190.0°C_D5000.0hr_S0MPa,190.0,5000.0,0.0,https://metadata.omero.matolab.org/api/rois/112 https://metadata.omero.matolab.org/api/rois/113 https://metadata.omero.matolab.org/api/rois/103 https://metadata.omero.matolab.org/api/rois/104 https://metadata.omero.matolab.org/api/rois/105 https://metadata.omero.matolab.org/api/rois/106 https://metadata.omero.matolab.org/api/rois/107 https://metadata.omero.matolab.org/api/rois/108 https://metadata.omero.matolab.org/api/rois/111 https://metadata.omero.matolab.org/api/rois/109 https://metadata.omero.matolab.org/api/rois/110 https://metadata.omero.matolab.org/api/rois/132 https://metadata.omero.matolab.org/api/rois/128 https://metadata.omero.matolab.org/api/rois/129 https://metadata.omero.matolab.org/api/rois/119 https://metadata.omero.matolab.org/api/rois/120 https://metadata.omero.matolab.org/api/rois/121 https://metadata.omero.matolab.org/api/rois/122 https://metadata.omero.matolab.org/api/rois/123 https://metadata.omero.matolab.org/api/rois/124 https://metadata.omero.matolab.org/api/rois/125 https://metadata.omero.matolab.org/api/rois/126 https://metadata.omero.matolab.org/api/rois/127,0.003257917633873471,1.802483917127892,0.04619729540623757,1.116853186630919,0.03812229042523781,3.3630428956288307,0.08619410394561104,39,0,14.0,1.0
T190.0°C_D8760.0hr_S0MPa,190.0,8760.0,0.0,https://metadata.omero.matolab.org/api/rois/267 https://metadata.omero.matolab.org/api/rois/268 https://metadata.omero.matolab.org/api/rois/269 https://metadata.omero.matolab.org/api/rois/256 https://metadata.omero.matolab.org/api/rois/257 https://metadata.omero.matolab.org/api/rois/252 https://metadata.omero.matolab.org/api/rois/258 https://metadata.omero.matolab.org/api/rois/253 https://metadata.omero.matolab.org/api/rois/259 https://metadata.omero.matolab.org/api/rois/254 https://metadata.omero.matolab.org/api/rois/260 https://metadata.omero.matolab.org/api/rois/255 https://metadata.omero.matolab.org/api/rois/261 https://metadata.omero.matolab.org/api/rois/251 https://metadata.omero.matolab.org/api/rois/262 https://metadata.omero.matolab.org/api/rois/263 https://metadata.omero.matolab.org/api/rois/264 https://metadata.omero.matolab.org/api/rois/265 https://metadata.omero.matolab.org/api/rois/266,0.012816163495552087,3.564753560307717,0.36903740444874605,1.0936477058072116,0.08381722374106725,6.482638323190086,0.671108389485283,26,0,14.0,1.0
T190.0°C_D25000.0hr_S0MPa,190.0,25000.0,0.0,https://metadata.omero.matolab.org/api/rois/142 https://metadata.omero.matolab.org/api/rois/143 https://metadata.omero.matolab.org/api/rois/133 https://metadata.omero.matolab.org/api/rois/134 https://metadata.omero.matolab.org/api/rois/135 https://metadata.omero.matolab.org/api/rois/136 https://metadata.omero.matolab.org/api/rois/137 https://metadata.omero.matolab.org/api/rois/138 https://metadata.omero.matolab.org/api/rois/139 https://metadata.omero.matolab.org/api/rois/140 https://metadata.omero.matolab.org/api/rois/141 https://metadata.omero.matolab.org/api/rois/153 https://metadata.omero.matolab.org/api/rois/144 https://metadata.omero.matolab.org/api/rois/145 https://metadata.omero.matolab.org/api/rois/146 https://metadata.omero.matolab.org/api/rois/147 https://metadata.omero.matolab.org/api/rois/148 https://metadata.omero.matolab.org/api/rois/149 https://metadata.omero.matolab.org/api/rois/150 https://metadata.omero.matolab.org/api/rois/151 https://metadata.omero.matolab.org/api/rois/152,0.008500184590490506,2.1220565304919514,0.1502914361944615,1.4249539979343813,0.11290183215914042,5.856971306849991,0.4148111121489164,30,0,14.0,1.0
