,rm,rm stderr,sigma,sigma stderr,ra,ra stderr,chi squared,R squared
190c1000h1iteration,2.3957542914409014,0.16175142094223,0.6878788769871981,0.04542543328954993,3.0352287738825368,0.20492609313660648,0.009087159546700455,0.9101792827145025
190c2500h1iteration,3.1923524767673936,0.11700687848633887,0.8218228358759947,0.026526056470098622,4.474767903880922,0.1640102802539352,0.001365240679131742,0.9732371526199777
190C250hminsize,2.136709526944662,0.12205425145161247,0.6602373242226073,0.03600762864551589,2.6570691808014995,0.15177851075602722,0.007674394229166083,0.9339717903693842
RockT61,1.526577754139634,0.019523444802143814,0.5375138815854865,0.006941677878785598,1.7638325990152353,0.022557703525886694,0.0006297798278787278,0.9973139050778581
T611iteration,1.5153502090509168,0.04371014982927414,0.47394098531978823,0.013013985756797696,1.6954642584514175,0.04890552449489946,0.003614693535418387,0.9869198938790483
