MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
T61;Sample1;Stelle1 DF 30s;31;269;19,09711315;18,01787935;1,059897937;924,1598513;679,0446097;6,0525;1,388009577;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;32;1034;39,69278901;34,24034412;1,159240365;952,4313346;1152,843327;23,265;2,721301068;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;33;415;23,89571452;22,39294133;1,067109236;960,9975904;1451,484337;9,3375;1,724012344;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;34;824;40,00880037;27,08916222;1,476930148;1000,101942;580,3179612;18,54;2,429293167;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;35;118;14,8421707;10,18493744;1,457266752;999,3135593;1435,779661;2,655;0,91930014;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;36;384;24,98931317;19,67870846;1,269865511;1027,817708;1758,492188;8,64;1,658371917;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;37;410;24,11598372;21,65539876;1,113624551;1038,673171;1661,073171;9,225;1,713595256;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;38;503;28,31452513;22,97290778;1,232518121;1046,403579;826,7077535;11,3175;1,89801795;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;39;298;21,73925545;17,72253016;1,226645138;1060,463087;1523,721477;6,705;1,46091334;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;40;615;29,71041662;27,23887234;1,090735925;1128,990244;1208,811382;13,8375;2,098717001;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;41;4514;101,4660749;64,21970191;1,579983586;1185,667922;1917,511077;101,565;5,685872281;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;42;254;21,40304337;16,32105142;1,311376505;1193,425197;535,5511811;5,715;1,348755352;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;43;496;33,724706;19,04333381;1,770945484;1209,092742;1354,264113;11,16;1,884764794;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;44;625;34,46158505;23,69377568;1,454457302;1258,696;917,7344;14,0625;2,115710938;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;45;718;34,53848414;27,32678998;1,263905646;1321,784123;1976,874652;16,155;2,267663161;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;46;250;22,40309527;14,91796697;1,501752572;1317,74;1212,568;5,625;1,338093087;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;47;5275;95,65551667;70,64333061;1,35406295;1375,371185;1530,095355;118,6875;6,146495312;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;48;355;25,25335939;18,29488195;1,380351044;1346,04507;1922,422535;7,9875;1,59452194;4;8;Otsu;3;255;0;05.04.2023
