,area,centroid,mean_radius_edge_distance,mean_radius_circle_area,radius_minor_axis_ellipsis,aspect_ratio
599,3.8913306130765988,POINT (255.7383714061302 132.4754750446183),1.1537989395558097,1.1129460923835945,1.3712287344289793,1.436133033676315
600,3.1730960371092927,POINT (134.0289383933351 131.78212931772345),1.0337197699828393,1.0050014121495034,1.2647795578894478,1.377551482330959
601,5.306359926922635,POINT (242.9662632557479 129.99694264266225),1.3075323539735515,1.299641036743982,1.7562121792914214,1.1868297550458022
602,16.18707775687511,POINT (36.122803992881686 129.82391367905973),2.2269780445011813,2.269913407696224,2.660467488307511,1.598717054999885
603,7.889860416596079,POINT (114.29739288366198 127.03643535903618),1.5782561197346365,1.5847462166582678,2.114204684411709,1.1882485940550809
604,4.11644891300665,POINT (278.0510875278463 125.60211958161867),1.1381165313119956,1.1446861513011046,1.5056024883898722,1.2205323584308179
605,6.1532335314213995,POINT (293.36269110207564 125.49921516747008),1.4244352877072004,1.3995124383330897,1.7531174704438381,1.3348705974184785
606,30.24089162393688,POINT (62.254845170888494 121.51730843329425),3.081942389259746,3.102575506077442,3.439499346567854,1.6999674117852162
607,85.8236718685709,POINT (248.5526286650717 121.04873352014455),5.311761484342231,5.226712468116053,5.127442402330014,2.1490321589130463
608,8.929692563892027,POINT (21.557533590697734 112.45042698494959),1.680629284749221,1.685944668032944,2.2370397620847933,1.1580048326047727
609,41.432487106173696,POINT (81.1056689641994 113.58044142787088),3.570492427386704,3.6315795812672924,4.4990035902692735,1.3077674852152597
610,1.6830272899532397,POINT (281.7930923747789 104.33808285263694),0.782492590267981,0.7319318445792815,0.7967308155849132,1.8860200626466237
611,20.06768845090742,POINT (241.2948287962497 105.38679389525043),2.6054271032397525,2.5273985888221335,2.814762360266108,1.615958616193679
612,3.6018927988808187,POINT (183.73271675673982 101.6774584386675),1.1634831533971108,1.070755848388403,1.1323668708904164,1.9666869993923353
613,11.170155644148252,POINT (93.1682916756955 102.86104886454034),1.9095615175919467,1.8856221709939818,1.863439517695407,2.0432027616234207
614,6.399791669440026,POINT (34.32400398522965 94.5727322379149),1.4679043720468432,1.4272760622596548,1.8122141237128695,1.3327598689593187
615,113.42746340761293,POINT (4.718837466878505 99.17449763908456),6.250197679273526,6.008750532963851,6.9602454647829415,1.6253361230720564
616,14.396851276478984,POINT (289.40226428526944 94.72614850175972),2.138512891775006,2.140714855187628,2.5495107455772295,1.4422202548445942
617,4.1914883463166674,POINT (256.51872343312743 93.78892566968715),1.1635377423282698,1.1550723693590559,1.4946537641725839,1.2598379356637817
618,89.92940086253326,POINT (165.11781849120015 96.31316682819617),5.465410392802541,5.350272642878067,5.781280563854405,1.80283778332117
619,2.8193387086477837,POINT (28.718304250176867 90.37261443774963),0.9791488538399749,0.9473243285502762,1.0432255676651498,1.6931323890249557
620,4.245087941538108,POINT (79.84098160914098 89.39486775276339),1.1581617028090547,1.1624342818031381,1.4192460906233404,1.3637043717072632
621,47.04972468538071,POINT (11.847625238941863 86.11788460625874),3.8339245850420878,3.869934432207117,5.4419775758538025,1.0161676778969733
622,9.937364954055116,POINT (75.43737092800639 83.50356240324602),1.8716739804993152,1.778527904614396,1.7154282729124006,2.1718817247995124
623,3.0873366847549875,POINT (18.97658583863328 78.84498142947754),1.034219284872055,0.9913272863869943,1.1403508968111926,1.5665755945779611
624,5.016922112726855,POINT (129.53055671519704 78.23373636667034),1.2895364457069574,1.2636992944110668,1.533005242088328,1.3996842508134075
625,38.098592283400095,POINT (285.96168163156324 76.51778135720808),3.3898525867474976,3.4824070085921504,4.507275544807572,1.2199072215908033
626,3.612612717925107,POINT (213.82101868353894 70.27255720430738),1.0449492529519229,1.0723480512729322,1.3973399637057928,1.2780196774900592
627,7.182345759673064,POINT (139.77870351409734 66.53162804557314),1.5338952264621148,1.5120223746010388,1.8000755891740834,1.4404186054074528
628,3.9985298035194803,POINT (89.78730209279635 55.786825845532384),1.1304141247744757,1.1281717806525655,1.510670698537782,1.217418341215757
629,9.20841045904352,POINT (56.06468454652116 55.68524486527314),1.7337972650391962,1.712053762342693,2.0916782011673907,1.366768388768469
630,10.162483253985167,POINT (186.5954217344899 54.42649635043826),1.8498327417121472,1.7985602263812845,2.0754378721761264,1.5383761640278306
631,19.885449827154517,POINT (65.21641677171394 52.821990755963505),2.544132413851408,2.5158965144049614,3.068889221502944,1.360749519931306
632,4.341567212936702,POINT (211.74608031930742 48.01015301538103),1.1761131846030635,1.17556954937135,1.4724495060569809,1.2581703034789162
633,5.349239603099787,POINT (21.495594156170654 46.312272574595795),1.32870940511874,1.3048815460540926,1.6437242328363193,1.3276274381982391
634,8.404416530721912,POINT (122.9650389803383 46.39669793334847),1.6521334462311776,1.635606575352172,1.988097213107795,1.3839344054037885
635,2.208303323123359,POINT (254.49752870968825 44.797768859753326),0.8660900092255511,0.8384060945882271,1.1332759355617328,1.252796274625568
636,6.121073774288534,POINT (212.4338987301611 42.898919555644035),1.39337348876569,1.3958503846818144,1.944008823925274,1.068973230390136
637,3.333894822773615,POINT (198.51572444891235 41.47143215487241),1.0601141214120084,1.0301512906295844,1.147834370421937,1.691732277506727
638,2.5942204087177325,POINT (113.54718021715969 39.276991616595865),0.9383394461363472,0.9087166791880781,1.2225037154295715,1.2595815109417978
639,81.22482659857134,POINT (229.28081861121052 40.37248779414232),5.106647858713497,5.084748303494419,5.644821938343503,1.6913781250534967
640,4.427326565291006,POINT (31.210420733863455 34.88459851313158),1.200800909110972,1.1871233360928648,1.5114650091545996,1.370439882409002
641,1.8116663184846975,POINT (169.08389557342556 30.882648784557038),0.7910292596655397,0.7593887671277941,0.9221379123493372,1.4685155725068963
642,73.20632715344375,POINT (83.63365620024246 34.92816650158735),4.859086455270424,4.827245349487224,4.836126234616959,2.106610697869238
643,5.90667539340277,POINT (160.49661974973986 29.585428409102608),1.3817111116272431,1.3711867750961693,1.564292558724254,1.592835562036172
644,8.039939283216114,POINT (126.91532474239663 26.576123535672817),1.6485684692127673,1.5997475295074248,1.7347202168092954,1.6944432370132605
645,10.998636939439644,POINT (58.235494805213065 24.82582186662082),1.854380362694494,1.8710892208470096,2.3440624941112636,1.3316274558773007
646,41.81840419176808,POINT (17.63974517722124 26.130505857552283),3.6649627994550835,3.6484532995050727,4.847018915191288,1.1765712644685815
